No,Name,Phone,Address,Type
233,Monk & Turner Solicitors Llp,020 7790 3772,"80A, Ashfield Street, Tower Hamlets, Aldgate, London, E1 2BJ",Solicitors
234,N F A (Uk) Limited,020 7790 3331,"Unit 4, 80A Ashfield Street, Aldgate, London, E1 2BJ",Accounting Activities
235,The Sick Children's Trust,020 7791 2604,"82, Ashfield Street, Aldgate, London, E1 2BJ",Charities And Charitable Organisations
236,East End Lets,020 3490 2287,"80A, Ashfield Street, Tower Hamlets, Aldgate, London, E1 2BJ",Letting Agents
237,United Workwear,020 7780 1746,"80A, Ashfield Street, Tower Hamlets, Aldgate, London, E1 2BJ",Workwear Hire
238,Institute Of Dentistry Within Queen Mary University Of London,020 7882 8669,"Medical College, Turner Street, Aldgate, London, E1 2AD",Hospitals
239,Heapwell Superfoods Ltd,07540 889 464,"Flat 49, Kent House, 25 Walden Street, Aldgate, London, E1 2AQ",E-commerce
240,Scottish & Newcastle Limited,020 7247 9146,"87, Turner Street, Aldgate, London, E1 2AE",Holding Companies Management Activities
241,Good Samaritan,020 7247 9146,"87, Turner Street, Aldgate, London, E1 2AE",Public Houses Activities Of
242,Human Care Initiative,07534 447 936,"2Nd Floor, 116, Cavell Street, Aldgate, London, E1 2JA",
243,Electric Theatre Collective Limited,020 7636 5317,"102, Cavell Street, Aldgate, London, E1 2JA",Video Production Companies
244,Care Delivered Ltd,020 7392 8866,"124, Cavell Street, Aldgate, London, E1 2JA",
245,Lawmatic Solicitors Limited,020 8077 5079,"132, Cavell Street, Aldgate, London, E1 2JA",Solicitors
246,Cue Boss,020 7247 9430,"108, Cavell Street, Aldgate, London, E1 2JA",Snooker Halls
247,London Supplementary School Limited,020 7092 9818,"114, Cavell Street, Aldgate, London, E1 2JA",Education Services
248,Karin Housing Association Ltd,020 7392 9622,"First Floor Unit 124 Cavell Street, Tower Hamlets, Aldgate, London, E1 2JA",Housing Associations Societies Trusts & Co-operatives
249,Dr Creative Ltd,07977 143 529,"Flat 21, Cobden House, Nelson Gardens, Bethnal Green, London, E2 7AH",
250,Digital Tapestry Limited,07970 902 649,"Flat 109, Verdigris Apartments, 31, Old Bethnal Green Road, Bethnal Green, London, E2 6AA",Design Consultants
251,Design & Artists Copyright Society Ltd,020 7336 8811,"33, Old Bethnal Green Road, Bethnal Green, London, E2 6AA",Advertising Contractors
252,Art360 Foundation,020 7553 9092,"33, Old Bethnal Green Road, Bethnal Green, London, E2 6AA",Education Services
253,Artimage Limited,020 7780 7550,"Verdigris Apartments, 31 Old Bethnal Green Road, Bethnal Green, London, E2 6AA",
254,Elizabeth Selby Infants' School,020 7739 6187,"Old Bethnal Green Road, Tower Hamlets, Bethnal Green, London, E2 6PP",Primary And Junior Schools (local Authority)
255,Lawdale Junior School,020 7739 6258,"Mansford Street, Tower Hamlets, Bethnal Green, London, E2 6LS",Primary And Junior Schools (local Authority)
256,Dpd Parcel Shop Location - Spotless Dry Cleaners,0121 275 0500,"51 Old Bethnal Green Road, Bethnal Green, London, E2 6QA",Couriers
257,Live Art Development Agency,020 8985 2124,"The Garrett Centre, 117A Mansford Street, E2 6Lx, Bethnal Green, London, E2 6LX",Arts The
258,Mansford Street Unitarian Church,020 7739 7241,"117, Mansford Street, Tower Hamlets, Bethnal Green, London, E2 6LX",Places Of Worship
259,Live Arts Agency,020 8985 2124,"117, Mansford Street, Tower Hamlets, Bethnal Green, London, E2 6LX",Charities And Charitable Organisations
260,Kaizen Ryu Karate,07743 764 234,"117, Mansford Street, Tower Hamlets, Bethnal Green, London, E2 6LX",Martial Art Instruction
261,Oaklands School,020 7613 1014,"Old Bethnal Green Road, Tower Hamlets, Bethnal Green, London, E2 6PR",Secondary Schools (local Authority)
262,Dirty Wknd,07853 249 069,"14, Mullet Gardens, Bethnal Green, London, E2 7AG",Tour Operators
263,No Guilt Bakes Ltd,07495 204 724,"2, Mullet Gardens, Bethnal Green, London, E2 7AG",Biscuits Manufacture Of
264,Sneaker Mission,07999 627 440,"7, Mullet Gardens, Bethnal Green, London, E2 7AG",Marketing Consultants
265,London,07989 020 831,"12, Mullet Gardens, Bethnal Green, London, E2 7AG",Property Maintenance Services
266,Incorporated Edwin Austin Abbey Memorial Scholarships Limited,07763 812 816,"7, St. Peter's Close, Bethnal Green, London, E2 7AE",Education Services
267,Jimmy's Joinery,020 7739 6407,"1, Warner Place, Bethnal Green, London, E2 7DB",Joinery And Carpentry
268,Gsf (London) Ltd,020 7655 8171,"Flat 3, Connett House, 1, Teesdale Street, Bethnal Green, London, E2 6GF",Cleaning Contracting Commercial
269,London Drainage Services,07940 566 555,"165, Gosset Street, Bethnal Green, London, E2 6NR",Drain And Sewer Services
270,Investigations Tracing & Sweeping,0843 512 2355,"Flat 4, Flamingo House, 163, Gosset Street, Bethnal Green, London, E2 6NR",Detective Agencies
271,Field Studies Ltd.,01743 852 100,"45, Blythe Street, Bethnal Green, London, E2 6LN",Video Production Companies
272,Quaker Social Action,020 8983 5030,"45 47 Blythe Street, Bethnal Green, London, E2 6LN",
273,G S F Ltd,020 7655 8171,"Unit 3, Teesdale Street, Tower Hamlets, Bethnal Green, London, E2 6GF",Commercial Premises Cleaning
274,Wodu Architects Ltd,07949 503 593,"Unit 12 5 Durham Yard Teesdale Stre, Bethnal Green, London, E2 6QF",Architectural Services
275,Graeme Williamson Architects Limited,020 3620 6298,"Unit 12A, 5, Durham Yard, Bethnal Green, London, E2 6QF",Architectural Services
276,April Design Ltd,020 7033 9368,"Unit 12, 5, Durham Yard, Bethnal Green, London, E2 6QF",Graphic Designers
277,Native North Limited,020 3488 1312,"5 Durham Yard Unit 12A, Teesdale Street, E2 6Qf, Bethnal Green, London, E2 6QF",Architectural Services
278,Scanlab Projects,020 7739 2524,"Unit 3, 5, Durham Yard, Bethnal Green, London, E2 6QF",Computer Aided Design
279,Scanlab Ltd,020 7739 2524,"Unit 7, 5, Durham Yard, Bethnal Green, London, E2 6QF",
280,Morizzo Architects,020 3488 1535,"Unit 12A, 5, Durham Yard, Bethnal Green, London, E2 6QF",Architects
281,Second Variety Llp,07765 666 645,"Unit 9, 5, Durham Yard, Bethnal Green, London, E2 6QF",Web Site Design And Development
282,Russian For Fish,020 8895 6536,"Unit 16, 5, Durham Yard, Bethnal Green, London, E2 6QF",Architects
283,Pierre D'avoine Architects,07905 740 961,"Unit 13, 5, Durham Yard, Bethnal Green, London, E2 6QF",Architects
284,Yada Yada Productions Ltd,020 7739 5134,"Unit 15, 5, Durham Yard, Bethnal Green, London, E2 6QF",Video Production Companies
285,Nom Living,0203 222 0679,"Unit 1, 5, Durham Yard, Bethnal Green, London, E2 6QF",Representative Office
286,A Portuguese Love Affair Distribution Limited,020 7613 1482,"Flat 9, Adrian Boult House, 125, Mansford Street, Bethnal Green, London, E2 6NQ",
287,Arnold Dasilva Limited,020 3664 9097,"Flat 12, Adrian Boult House, 125, Mansford Street, Bethnal Green, London, E2 6NQ",Business Services
288,Pound Plus London Ltd,020 7729 1301,"55, Old Bethnal Green Road, Bethnal Green, London, E2 6QA",
289,The-Common Ltd,07765 257 123,"53, Old Bethnal Green Road, Bethnal Green, London, E2 6QA",Cafes And Snack Bars
290,The Hairy Canary Limited,01223 462 817,"61 63 Old Bethnal Green Road, Old Bethnal Green Road, Bethnal Green, London, E2 6QA",Cafes And Snack Bars
291,The Hungry Canary Limited,020 8257 8170,"61 63 Old Bethnal Green Road, Bethnal Green, London, E2 6QA",Cafes And Snack Bars
292,Common Ground Workshop Limited,07765 257 123,"53, Old Bethnal Green Road, Bethnal Green, London, E2 6QA",Architectural Services
293,Tikis Hairdressers,020 7256 1446,"49A, Old Bethnal Green Road, Bethnal Green, London, E2 6QA",Hairdressers (unisex)
294,The Canary,020 8257 8170,"63, Old Bethnal Green Road, Bethnal Green, London, E2 6QA",Hairdressers (unisex)
295,The Common E2,07765 257 123,"53, Old Bethnal Green Road, Bethnal Green, London, E2 6QA",Cafes And Snack Bars
296,Spotless Dry Cleaners,020 7613 3026,"51, Old Bethnal Green Road, Bethnal Green, London, E2 6QA",Dry Cleaners
297,Fitzrovia Productions Limited,020 7209 3474,"Flat 9, Jeremy Bentham House, 20, Pollard Street, Bethnal Green, London, E2 6LZ",Arts The
298,Eight Books Limited,020 7845 5000,"Flat 4, Thomas Burt House, 41, Canrobert Street, Bethnal Green, London, E2 0BW",Book Publishers
299,Anchor Hanover - Silk Court,0800 085 4152,"16, Ivimey Street, Bethnal Green, London, E2 6LQ",Residential Care Establishments
300,Silk Court,0800 085 4152,"16, Ivimey Street, Bethnal Green, London, E2 6LQ",Nursing Homes
301,Tesco Express,3456779048,"361 Bethnal Green Rd, Bethnal Green, Bethnal Green, London, E2 0AN",Supermarkets
302,Design With Me. Ltd,07882 302 475,"4, Claremont Court, Copperfield Mews, Bethnal Green, London, E2 6DE",Design Consultants
303,Konsider Ltd,07401 250 662,"13, Mansford Street, Bethnal Green, London, E2 7DN",Graphic Designers
304,Bellong Dining Ltd,07747 483 347,"Flat 12, Tria Apartments, 49, Durant Street, Bethnal Green, London, E2 7DT",Caterers
305,Private Island Limited,07825 670 225,"Unit 1 84 Teesdale Street, Bethnal Green, London, E2 6PU",Radio And Television Production Services
306,Impossible Limited,0800 048 8769,"124, Teesdale Street, Bethnal Green, London, E2 6PU",
307,The Can-D Food Co. Ltd,020 3983 9888,"100A, Teesdale Street, Bethnal Green, London, E2 6PU",Meat Products Production Of
308,Union Gallery,020 8281 4448,"94, Teesdale Street, Bethnal Green, London, E2 6PU",Art Galleries And Dealers
309,Archio,01242 541 200,"Unit 101, 96, Teesdale Street, Bethnal Green, London, E2 6PU",Architects
310,My Eden Limited,01993 823 726,"Flat 15, Southwood Smith House, Florida Street, Bethnal Green, London, E2 6ND",Clothing Retailers
311,O'neill Limited,01273 729 126,"Flat 15, Southwood Smith House, Florida Street, Bethnal Green, London, E2 6ND",Business Services
312,Broadway Pampered Pets Limited,01932 343 534,"Flat 15, Southwood Smith House, Florida Street, Bethnal Green, London, E2 6ND",Florists
313,Parkwood Roofing Limited,01737 359 795,"Flat 15, Southwood Smith House, Florida Street, Bethnal Green, London, E2 6ND",Builders
314,Boom Sms Limited,0844 840 1999,"Flat 15, Southwood Smith House, Florida Street, Bethnal Green, London, E2 6ND",Telecom Services
315,Point To Point Couriers Limited,01483 723 511,"Flat 15, Southwood Smith House, Florida Street, Bethnal Green, London, E2 6ND",Couriers
316,Gt Global Distributors Limited,07788 235 993,"Flat 15, Southwood Smith House, Florida Street, Bethnal Green, London, E2 6ND",E-commerce
317,Knownow Limited,07870 207 324,"Flat 15, Southwood Smith House, Florida Street, Bethnal Green, London, E2 6ND",
318,Hot Property Management Ltd,0800 622 6543,"Flat 15, Southwood Smith House, Florida Street, Bethnal Green, London, E2 6ND",Property Developers
319,Open Architecture Limited,020 7332 2888,"Flat 15, Southwood Smith House, Florida Street, Bethnal Green, London, E2 6ND",Architectural Services
320,Equal Productions Ltd,020 3735 9838,"Flat 15, Southwood Smith House, Florida Street, Bethnal Green, London, E2 6ND",Business Services
321,Dach Global Limited,07983 223 238,"Flat 15, Southwood Smith House, Florida Street, Bethnal Green, London, E2 6ND",Business Services
322,Chronos Networking Limited,01594 862 200,"Flat 15, Southwood Smith House, Florida Street, Bethnal Green, London, E2 6ND",Data Information Services
323,Point To Point Couriers (Holding) Limited,01252 376 070,"Flat 15, Southwood Smith House, Florida Street, Bethnal Green, London, E2 6ND",Holding Companies Management Activities
324,Gorgeous Bikes Limited,020 7610 2003,"Flat 15, Southwood Smith House, Florida Street, Bethnal Green, London, E2 6ND",Motor Cycles & Scooters
325,Anchor Accounting Limited,01932 340 543,"Flat 15, Southwood Smith House, Florida Street, Bethnal Green, London, E2 6ND",Accounting Activities
326,Wholesale Lighting And Electrical Limited,020 8804 1335,"Flat 15, Southwood Smith House, Florida Street, Bethnal Green, London, E2 6ND",Furniture Retail Outlets
327,Anchor Accounting Services Limited,01932 340 543,"Flat 15, Southwood Smith House, Florida Street, Bethnal Green, London, E2 6ND",Accounting Activities
328,Pharmacy Midlands Limited,0115 928 2444,"Flat 15, Southwood Smith House, Florida Street, Bethnal Green, London, E2 6ND",Alternative Medical Treatments And Therapies
329,Harley Grove Medical Ctr,020 8983 7479,"15, Harley Grove, Bow, London, E3 2AT",Doctors
330,Dr S Shanmugadasan - Harley Grove Medical Ctr,020 8983 7479,"15, Harley Grove, Bow, London, E3 2AT",Doctors
331,Gurdwara Sikh Sangat,020 8980 1379,"43, Harley Grove, Bow, London, E3 2AT",Places Of Worship
332,Dr F Suraiya - Harley Grove Medical Ctr,020 8983 7479,"15, Harley Grove, Bow, London, E3 2AT",Doctors
333,Dr S Ali - Harley Grove Medical Ctr,020 8983 7479,"15, Harley Grove, Bow, London, E3 2AT",Doctors
334,Dr G Rahman - Harley Grove Medical Ctr,020 8983 7479,"15, Harley Grove, Bow, London, E3 2AT",Doctors
335,Green Line Cab Company Limited,07866 286 345,"C/O Martin Cordell & Co, 1 5 Alfred Street, Bow, London, E3 2BE",
336,The Glass-House Community Led Design,020 7490 4583,"35-37, Bow Road, Bow, London, E3 2AD",Research Institutions And Organisations
337,Add Dynamics,07459 683 232,"35-37, Bow Road, Bow, London, E3 2AD",Computer Software (development)
338,Swarco Uk Limited,020 8421 2411,"1, Bow Road, Enterprise Park, Bow, London, E3 2AD",Industrial Machinery Suppliers And Manufacturers
339,Totesport Limited,01942 491 047,"67, Bow Road, Bow, London, E3 2AD",Bookmakers And Turf Accountants
340,The Phoenix Autism Trust,020 8980 4740,"Phoenix Autism Trust, 49, Bow Road, Bow, London, E3 2AD",Training Providers
341,Carlton Freeman Investments Ltd,07898 206 875,"Studio 03 Mainyard Studios, 35 37 Bow Road, E3 2Ad, Bow, London, E3 2AD",Property Developers
342,Onecall.Com Limited,020 3306 0026,"51, Bow Road, Bow, London, E3 2AD",Insurance Brokers
343,Hammonds Estate Agents,020 8980 2226,"57, Bow Road, Bow, London, E3 2AD",Estate Agents
344,Captium Limited,07540 407 014,"5, Bow Road, Bow, London, E3 2AD",Pharmaceutical Products Manufacturers Of
345,Signsay Cic,020 8088 2478,"Unit B11 35 Bow Road, England, Bow, London, E3 2AD",Education Services
346,Unshakable Marketing Limited,020 3962 0128,"Studio 03 Mainyard Studios, 35 37 Bow Road, E3 2Ad, Bow, London, E3 2AD",Advertising Agency Services
347,I C S,020 8983 6000,"59 Bow Road, Tower Hamlets, Bow, London, E3 2AD",Employment And Recruitment Companies And Consultants
348,Discreet Investigations,0844 850 5127,"65, Bow Road, Bow, London, E3 2AD",Detective Agencies
349,Mayors Pharmacy,020 8981 2676,"51, Bow Road, Bow, London, E3 2AD",Chemists Dispensing
350,Betfred,0800 032 0878,"67, Bow Road, Bow, London, E3 2AD",Bookmakers And Turf Accountants
351,Bow Food & Wines,020 8980 1895,"65, Bow Road, Bow, London, E3 2AD",General And Convenience Stores
352,Phoenix School,020 8980 4740,"49, Bow Road, Bow, London, E3 2AD",Schools (special)
353,247 Detectives,0844 660 0007,"Flat A10, Lemon Tree House, 53, Bow Road, Bow, London, E3 2AD",Private Detectives
354,Bow Tracing Services,0844 850 5209,"65, Bow Road, Bow, London, E3 2AD",Private Detectives
355,Andy Vincent Pt Limited,07789 110 245,"Flat 9, Frye Court, Benworth Street, Bow, London, E3 2AZ",
356,Central Foundation Girls' School,020 8981 1131,"25-33, Bow Road, Bow, London, E3 2AE",Secondary Schools (local Authority)
357,City Electrical Factors Limited,01926 514 355,"26, Bow Road, Bow, London, E3 4LN",
358,East Thames,020 8522 2035,"28, Bow Road, Bow, London, E3 4LN",Housing Associations Societies Trusts & Co-operatives
359,Amin & Yasmin Ltd,07985 766 843,"37, Trellis Square, Bow, London, E3 2DR",Book Publishers
360,Baptist Insurance Company Plc,020 8980 9411,"1, Merchant Street, Bow, London, E3 4LY",
361,Methodist Church Tower Hamlets,020 8880 7301,"1 Merchant Street, Tower Hamlets, Bow, London, E3 4LY",Charities And Charitable Organisations
362,Camelot Uk Lotteries Limited,020 7234 4215,"3, Merchant Street, Bow, London, E3 4UJ",Bookmakers And Turf Accountants
363,Sunbelt Rentals Tools,020 8981 2611,"119 Bow Road, Bow, London, E3 2AN",Builders Equipment
364,Dpd Parcel Shop Location - Rowlands Pharmacy,0121 275 0500,"43 St Helier Avenue, Morden, Surrey, SM4 6HY",Couriers
365,Wellington Cottages Limited,020 8980 2413,"Flat 54, Wellington Buildings, Wellington Way, Bow, London, E3 4NA",
366,Tower Hamlets Mencap Society,020 8981 6210,"Coborn Street, Tower Hamlets, Bow, London, E3 2AB",Disability Services
367,Royal Mencap Society,020 7696 5614,"Coborn Street, Bow, London, E3 2AB",Residential Care Establishments
368,Christ Church London,020 7384 6493,"1 3 Coborn Street, Bow, London, E3 2AB",Religious Organisations And Places Of Worship
369,Malmesbury Primary School,020 8980 4299,"Coborn Street, Tower Hamlets, Bow, London, E3 2AB",Primary And Junior Schools (local Authority)
370,Xpress Cash & Carry Limited,07960 738 690,"27, Creswick Walk, Bow, London, E3 2AQ",Beer Wine And Spirit (wholesale)
371,London Live Work Ltd,020 8533 1213,"13, Lawrence Close, Bow, London, E3 2AS",Business Services
372,Webnet Consulting Uk Ltd,07894 919 401,"19, Lawrence Close, Bow, London, E3 2AS",Computer Software (development)
373,Canary Wharf Cars,020 8981 7077,"24, Heylyn Square, Bow, London, E3 2DW",Taxis And Private Hire Vehicles
374,William Hill,0870 518 1715,"121, Bow Road, Bow, London, E3 2AN",Bookmakers And Turf Accountants
375,Penny Neu Communications Limited,020 8980 0323,"89, Bow Road, Bow, London, E3 2AN",Management And Business Consultants
376,Co-Operative Group Limited,020 8981 4314,"127-139, Bow Road, Bow, London, E3 2AN",
377,Chuck Elliott Studio Ltd,07753 603 469,"69, Bow Road, Bow, London, E3 2AN",Artists
378,Valero Energy Uk Ltd,020 7513 3000,"127-139, Bow Road, Bow, London, E3 2AN",Holding Companies Management Activities
379,Bow Dental Surgery,020 8980 6398,"143A, Bow Road, Bow, London, E3 2AN",Dentists
380,A-Plant Bow,020 8981 2611,"119, Bow Road, Bow, London, E3 2AN",Plant And Tool Hire
381,Enterprise Car & Van Hire - London Bow,020 8980 5600,"145B, Bow Road, Bow, London, E3 2AN",Vehicle Rental (car)
382,Co-Op Food,020 8981 4314,"127-139, Bow Road, Bow, London, E3 2AN",Convenience Stores
383,Mighty Bite,020 8983 0670,"123, Bow Road, Bow, London, E3 2AN",Take Away Meal Outlets
384,Pillar Box Montessori Nursery,020 8980 0700,"107, Bow Road, Bow, London, E3 2AN",Nursery Schools
385,Texaco,020 8981 4314,"127-139, Bow Road, Bow, London, E3 2AN",Petrol Service Stations
386,Co-Op Petrol,020 8981 4314,"127-139, Bow Road, Bow, London, E3 2AN",Petrol Service Stations
387,Young & Co's Brewery Plc,020 8980 3793,"6-8, Coborn Road, Bow, London, E3 2DA",Hotels
388,The Languages Company Ltd,020 8980 3550,"37, Coborn Road, Bow, London, E3 2DA",Education Services
389,Kam Hon,020 8981 0164,"13, Coborn Road, Bow, London, E3 2DA",Take Away Meal Outlets
